Batch,H,W,C,K,R,S,,Max mem. (MB),Forward time (s),Backward time (s),Act. count,Param Count,Total FLOPs,Offset FLOPs
32,64,64,512,512,7,7,,2373.0048828125,0.03690845199889736,0.24244848800117325,58982400,12845568,1479750451200,0
32,64,64,512,512,8,8,,2371.5673828125,0.036894181999741704,0.2834195670002373,57032704,16777728,1868847644672,0
32,64,64,512,512,9,9,,2374.5048828125,0.037006894999649376,0.31972347699957027,55115776,21234176,2285761462272,0
32,64,64,512,512,10,10,,2379.0673828125,0.03712997699949483,0.36655710600098246,53231616,26214912,2725458739200,0
32,64,64,512,512,11,11,,2386.0048828125,0.037489153000933584,0.4056837699990865,51380224,31719936,3183107637248,0
64,64,64,512,512,1,1,,2115.0048828125,0.017935816000317573,0.18256382300023688,142737408,262656,73081552896,0
64,64,64,512,512,2,2,,2676.126953125,0.064693943999373,0.21536166800069623,138444800,1049088,283534950400,0
64,64,64,512,512,3,3,,4406.0048828125,0.0630537209999602,0.5548914670016529,134217728,2359808,618475290624,0
64,64,64,512,512,4,4,,3664.2548828125,0.06308411300051375,0.29754494999906456,130056192,4194816,1065420324864,0
64,64,64,512,512,5,5,,4885.0048828125,0.0644702600002347,0.2148435689996404,125960192,6554112,1612290457600,0
64,64,64,512,512,6,6,,3623.1298828125,0.06348007100132236,0.4122992609991343,121929728,9437696,2247408746496,0
64,64,64,512,512,7,7,,3606.0048828125,0.06398357999933069,0.4792020059994684,117964800,12845568,2959500902400,0
64,64,64,512,512,8,8,,3591.1298828125,0.0637410359995556,0.5538800850008556,114065408,16777728,3737695289344,0
64,64,64,512,512,9,9,,3579.0048828125,0.06412675300089177,0.6345674479998706,110231552,21234176,4571522924544,0
64,64,64,512,512,10,10,,3568.2548828125,0.06350001899954805,0.721835866001129,106463232,26214912,5450917478400,0
64,64,64,512,512,11,11,,3562.0048828125,0.06361914400076785,0.8044492030003312,102760448,31719936,6366215274496,0
128,64,64,512,512,1,1,,4230.0068359375,0.035607727000751765,0.36217124900031195,285474816,262656,146163105792,0
128,64,64,512,512,2,2,,5192.53076171875,0.12538155199945322,0.4283623589999479,276889600,1049088,567069900800,0
128,64,64,512,512,3,3,,8758.0048828125,0.1257693970001128,0.39994729699901654,268435456,2359808,1236950581248,0
128,64,64,512,512,4,4,,6224.5048828125,0.12716515300053288,0.5883698090001417,260112384,4194816,2130840649728,0
128,64,64,512,512,5,5,,9575.0048828125,0.12527225899975747,0.41449337899939565,251920384,6554112,3224580915200,0
128,64,64,512,512,6,6,,6120.5048828125,0.12563514499925077,0.8160455739998724,243859456,9437696,4494817492992,0
128,64,64,512,512,7,7,,6074.0048828125,0.12538861999928486,0.9535753119998844,235929600,12845568,5919001804800,0
128,64,64,512,512,8,8,,6028.5048828125,0.1253787800014834,1.1084173719991668,228130816,16777728,7475390578688,0
128,64,64,512,512,9,9,,5989.0048828125,0.12560055399990233,1.2610287909992621,220463104,21234176,9143045849088,0
128,64,64,512,512,10,10,,5948.5048828125,0.12587070900008257,1.4333776490002492,212926464,26214912,10901834956800,0
128,64,64,512,512,11,11,,5914.0048828125,0.12496315199859964,1.5961396480015537,205520896,31719936,12732430548992,0
256,64,64,512,512,1,1,,8454.0068359375,0.07134450600096898,0.7360587170005601,570949632,262656,292326211584,0
256,64,64,512,512,2,2,,8329.0126953125,0.2501388450000377,0.9026236169993354,553779200,1049088,1134139801600,0
256,64,64,512,512,3,3,,17462.0048828125,0.24853160599923285,1.0292920659994707,536870912,2359808,2473901162496,0
256,64,64,512,512,4,4,,8097.0361328125,0.25049475000014354,1.641198527000597,520224768,4194816,4261681299456,0
256,64,64,512,512,5,5,,16441.0048828125,0.25096874999871943,1.7446095400009654,503840768,6554112,6449161830400,0
256,64,64,512,512,6,6,,7889.0751953125,0.2519161769996572,2.925357116999294,487718912,9437696,8989634985984,0
256,64,64,512,512,7,7,,7795.1005859375,0.25010448299872223,3.6186644509998587,471859200,12845568,11838003609600,0
256,64,64,512,512,8,8,,7705.1298828125,0.25186401499922795,4.39315691199954,456261632,16777728,14950781157376,0
256,64,64,512,512,9,9,,7623.1630859375,0.25014927300071577,5.242324616998303,440926208,21234176,18286091698176,0
256,64,64,512,512,10,10,,7545.2001953125,0.25223221000123885,6.094864609000069,425852928,26214912,21803669913600,0
256,64,64,512,512,11,11,,7475.2412109375,0.2518550040003902,6.978875073000381,411041792,31719936,25464861097984,0
512,64,64,512,512,1,1,,16906.0068359375,0.1452887870000268,1.4555669370001851,1141899264,262656,584652423168,0
512,64,64,512,512,2,2,,16651.0126953125,0.4999477689998457,1.8156530519991065,1107558400,1049088,2268279603200,0
512,64,64,512,512,3,3,,16402.0224609375,0.5008303550002893,2.396795856000608,1073741824,2359808,4947802324992,0
512,64,64,512,512,4,4,,16163.0361328125,0.5002936079999927,3.3952257620003365,1040449536,4194816,8523362598912,0
512,64,64,512,512,5,5,,15931.0537109375,0.5001642320003157,4.577179679999972,1007681536,6554112,12898323660800,0
512,64,64,512,512,6,6,,15707.0751953125,0.5018897640002251,5.844317872999454,975437824,9437696,17979269971968,0
512,64,64,512,512,7,7,,15491.1005859375,0.5033996189995378,7.241360153000642,943718400,12845568,23676007219200,0
